vendor,model,type,protocol,port,url
255 Ip Cam,unknown,JPEG,http,0,/snapshot.jpg
255 Ip Cam,*,FFMPEG,rtsp,5544,/0
255 Ip Cam,3030,FFMPEG,rtsp,0,/1
255 Ip Cam,c6f0soz3n0p9l2,FFMPEG,rtsp,0,/1
255 Ip Cam,iuk-5a1,FFMPEG,rtsp,0,/1
255 Ip Cam,nzrx-20w-6,FFMPEG,rtsp,0,/1
255 Ip Cam,32x-5mp,FFMPEG,rtsp,554,/11
255 Ip Cam,c6f0sgz3n0pfl2,FFMPEG,rtsp,554,/11
255 Ip Cam,cf0sgzonopfl2,FFMPEG,rtsp,554,/11
255 Ip Cam,denver-ipo-1320mk2,FFMPEG,rtsp,554,/11
255 Ip Cam,drc6f0sgz3n0p6l2,FFMPEG,rtsp,554,/11
255 Ip Cam,es-cam-g02,FFMPEG,rtsp,554,/11
255 Ip Cam,hw0029,FFMPEG,rtsp,554,/11
255 Ip Cam,phr04k,FFMPEG,rtsp,554,/11
255 Ip Cam,proeliteip01axblk,FFMPEG,rtsp,554,/11
255 Ip Cam,q52-5mp-wh,FFMPEG,rtsp,554,/11
255 Ip Cam,xly0144,FFMPEG,rtsp,554,/11
255 Ip Cam,c6f0soz3n0pol2,FFMPEG,rtsp,554,/11
255 Ip Cam,c6f0soz3n0pil2,FFMPEG,rtsp,554,/11
255 Ip Cam,c6f0sgz3n0pil2,FFMPEG,rtsp,554,/11
255 Ip Cam,c6f0sgz3n0pml2,FFMPEG,rtsp,554,/11
255 Ip Cam,c6f0soz0n0pil2,FFMPEG,rtsp,554,/11
255 Ip Cam,ptz-360,FFMPEG,rtsp,554,/11
255 Ip Cam,4455,VLC,rtsp,0,/ch0_0.h264
255 Ip Cam,ipc365,VLC,rtsp,0,/ch0_0.h264
255 Ip Cam,c9f0sgz3n0pbl0,JPEG,http,8082,/tmpfs/auto.jpg
255 Ip Cam,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]*[HEIGHT]
255 Ip Cam,*,JPEG,http,0,/cgi-bin/snapshot.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
255 Ip Cam,*,FFMPEG,rtsp,0,/user=[USERNAME]_password=[PASSWORD]_channel=1_stream=0.sdp
255 Ip Cam,*,FFMPEG,rtsp,554,/1/h264major
255 Ip Cam,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]x[HEIGHT]
255 Ip Cam,ipc-v380-q79,FFMPEG,rtsp,0,/onvif1
255 Ip Cam,*,MJPEG,http,81,/videostream.cgi?rate=0&user=[USERNAME]&pwd=[PASSWORD]
255 Ip Cam,*,JPEG,http,0,/snap.jpg?JpegCam=[CHANNEL]
255 Ip Cam,*,JPEG,http,0,/image.jpg
255 Ip Cam,*,MJPEG,http,0,/videofeed
255 Ip Cam,*,MJPEG,http,0,/videostream.cgi?user=[USERNAME]&password=[PASSWORD]
255 Ip Cam,*,FFMPEG,http,0,/video.mp4
255 Ip Cam,*,FFMPEG,http,80,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=320*240
255 Ip Cam,*,FFMPEG,rtsp,554,/video1
2n Helios,unknown,JPEG,http,0,/tmpfs/auto.jpg
2n Helios,*,MJPEG,http,0,/videostream.cgi?usr=[USERNAME]&pwd=[PASSWORD]
2n Helios,vario,FFMPEG,rtsp,0,/h264_stream
2n Helios,*,JPEG,http,0,/snapshot/view[CHANNEL].jpg
2n Helios,*,JPEG,http,0,/cgi-bin/snapshot.cgi?loginuse=[USERNAME]&loginpas=[PASSWORD]
